[ 160 : <module>                       ] path dataset/train
[ 166 : <module>                       ] Hoodie               : 597
[ 166 : <module>                       ] Caftan               : 9
[ 166 : <module>                       ] Blazer               : 1047
[ 166 : <module>                       ] Cape                 : 0
[ 166 : <module>                       ] Halter               : 2
[ 166 : <module>                       ] Gauchos              : 8
[ 166 : <module>                       ] Blouse               : 3416
[ 166 : <module>                       ] Chinos               : 73
[ 166 : <module>                       ] Parka                : 87
[ 166 : <module>                       ] Leggings             : 724
[ 166 : <module>                       ] Flannel              : 51
[ 166 : <module>                       ] Cardigan             : 1877
[ 166 : <module>                       ] Sweatpants           : 408
[ 166 : <module>                       ] Robe                 : 21
[ 166 : <module>                       ] Skirt                : 1933
[ 166 : <module>                       ] Onesie               : 11
[ 166 : <module>                       ] Tank                 : 2128










mv Romper ../; mv Jeans/ ..; mv Blazer/ ..; mv Jumpsuit/ ..; mv Leggings/ ..; mv Joggers/ ..;
mv ../Romper .; mv ../Jeans/ .; mv ../Blazer .; mv ../Jumpsuit/ .; mv ../Joggers/ .; mv ../Leggings .;

